sentence_hash	sentence_level_stance
ba87a8adf301330ab6cfaee5f7b8f30d	pro
c30dd94d8c83074c2505f37b8ef9474d	pro
e390da5ff5db9cbfed46b173f2501f29	pro
1b4a42a628bd0c83b6f16b2832f96cbb	pro
3e37b3ad172fee70c09a6fe2ca453439	pro
faa0cd6e0ae033878eea638de38d37d1	pro
4c66245d4d937b09a3fd0f54af447688	pro
6533662739cf6ee9663cc99c6dca5b5b	pro
7acd6aed2229e9b12714e73cc0200441	pro
dd87d14a8b7c3bc338736486029ef784	pro
4547dc1b91b2efeb09db6d5d982ecdcf	pro
5ef7b5ee1dcf58f6f497cdd10abfee40	pro
ed0e3548895e8e9af7fa4c85d2a58104	pro
b3db97e9b1df345df1be11a2df397a1b	pro
da922b39d403a514d6d85738e4713820	pro
72b8f63535821b99884a40cb37733e19	pro
ff6791c27ca361f6589ec1d8f8c92407	pro
c61da64497e3c591c2b0ccfe5a07b429	pro
d1bd1ef0c9ef069e7c9a027e41015fcd	pro
80d5784219ca13205edc3c15fca4237a	pro
d2e8b49ffb41a044b1ec3868882b5293	pro
85fc58f0be4d698d5eed8d507b10b2a6	pro
b4fc34babe3ab827fd4662c1a3a441d1	pro
428d9126c34827c6809a9ceea5af40f9	pro
f521ec494c2de976428508069268a2eb	pro
68f803ca5c2fb78d17dce8b6f00dd7b7	pro
a5c6f7838bce1def7094137ae827fdfc	pro
b038d1e389867d6145d5811b0ce5dd5e	pro
03d3a8b95a9b83ab24b894df7dcc2736	pro
ed2b48d1f8d51bcf7fcfbe71c0b5b196	pro
e2e35a2d60adf07ba8648f97c8075d6b	pro
3500f0fdcaf84963f692ebd02750dd20	pro
1222170c85a59bb809261d3726cd8c50	pro
3589b0e7214fdb2f86903a4ff81e03a0	pro
d3bb0261b2240b16ffd1525788e4bb64	pro
4738dff32ca76b9cf2e0569d7da47de9	pro
09782ba6bfc8423504e72396144b4f2e	pro
8503c2852fcdf280adc52c20eaab9696	pro
5dc3026fab0d9662937c7f101489c3e3	pro
368b481e24a7751079f1a93a62ac3614	pro
d97e3d53bb3ddbbe09f2c3a10f2d56fb	pro
79d685a3e5cc3c464eb743808b722b61	pro
c0a6ed99e3a669c3685f89182cc8b87d	pro
9fd97e67cd94fde6ca947d0729b8c0fa	pro
30921a14b619acbfad4493b113bb8d7a	pro
10e13eac9b509cc97fc1a8e6379de068	pro
e9041f111eae4a76d6ab70aa60585758	pro
e8d9327ccd197cc2e03dbd0acb2e910f	pro
02ff059f61b407f51f1eb03c0827f2fb	pro
86319ce99ec79071c771ab3f528aeffe	pro
85b89be2e42e55ccdce13fa4095c0345	pro
97df8bbe8521c12945f05bee481a60ea	pro
196ab914b6f0c81245ad3da2e80f00ac	pro
aa9f020e8683306c8c295ca9793b71f9	pro
124f74bfc34a17bc681c914328e4711c	pro
09dd4b620f17f24be08025dd676fd5cc	pro
dedd4e063b8ba7ae49436795160478cb	pro
aa316e64cbfdb49f7c0ba2027ecefb82	pro
30f3326251da4fa52b1e78181c6187a0	pro
4e40692c5e3106acac940d019ddd6eff	pro
fef5e2ced7efe2cdbcef50f333a897f4	pro
bb48a1dd28209ccab0ff82b12333b5c4	pro
c6e449c457dd24dce967454e748c045a	pro
04e2ca524e88de78e6fa48a5f9b1a50f	pro
33c79a2a648776dd319deae6a0daa523	pro
a97fa3c78f66ef1db49d6b7e8758566d	pro
4475d6be715f1a37a7bb3e2013b0aa18	pro
797921e06a9432662639f28acc5cfe95	pro
d688299c94af59ff09f20f0b9510c083	pro
66f0c4710c9ddccf92e116db58c05bcd	pro
ab8b3c2741439b18f8ae9b97bdf0dfa4	pro
61128c81271f60cc9301394bc257be62	pro
1cafaf2bb7278918bd4ec8e944666404	pro
23f66bcdc6befd0ad0e1d712a50fca65	pro
a0d351d00dfa65324a01935d92f15ce4	pro
65be52e3e020ed0440e266a5d5807328	pro
8bfd6b40c46da1fa11abfd6aa5b84b52	pro
5276efdae54999064967f33aa442a8e8	pro
30b3f0fbfc0dfd31dd164b2eb6ffd64f	pro
c900edfcae4a93658cfb4eb1845d58b3	pro
9ace278617e42a54838a8e3eac04ab9a	pro
87c414f244034324eecde0d7631f7fff	pro
fd73480876498b1bae8b116704b8a9b0	pro
1ff026443ce2cd890d8c4b73bb18b78d	pro
f5e8641a8bd3543a9cfdd77ffd01eb3d	pro
f4f8ce8b608599d4a145206bd7bb4c0a	pro
49a0b0129af6f2d645b128cf686b4dda	pro
a2732fc648ba705a3abb593381ff16d0	pro
d892dcba59214d4d681e9d75e3406c2b	pro
811cc1067ddb550c5b1bfcda4860e4aa	pro
a7413d3f4164f2d109358cdd6908c0b1	pro
cf09ae9b97847cf57bd28d8f4d6fe3ac	pro
1ddc183b1aa56489c3ddbc9327882fa9	pro
47028a657c6fcae6dd74622dd522c8d1	pro
58daed0e59782a3585cbc51c99b63ff4	pro
c9a68fece75d14b9fd2b6a562774b1d9	pro
289d6c53d86d53b98a77c76becbebb27	pro
0adec2c2c12e240b90f01ad88891414b	pro
7efc3d1421b2852777c79ae096c22b67	pro
3c0ce95936b20d3b1f64b1ecb99d5c1f	pro
182d20cba18ebbf584644a69e1999c19	pro
7e2b7e8879b16b95db9b86ea70a8e6ce	pro
3a7cd1fb41f7b8be05fe3c163edac965	pro
dda99ba532e2a3e38af8b974be58eed7	pro
c92f90ec273cfb32d04f512e5a21edd9	pro
15feb26257e48c3eaeeb58a046f19d90	pro
17aa894bd3860600e92896b53abe2f5c	pro
338fb985a95a636027f29575ecb1796f	pro
72fa689167e631b97a3bc34da07a88ea	pro
a6483626ea7c2c4794db952fdf136afb	pro
2c38b27e4ebebc3bc163786aa78eaaed	pro
c8f548c1445fc7ca29931020e20a7ae8	pro
5b63d236406e92ba94a5fa4e53188947	pro
c8518d9e1da98a67166af90f324a670e	pro
51d44d1437438c2a84d0d785cddab32f	pro
6643594803b5a08d93231d142ca6eb13	pro
10b7b5105e6ac5da1034a62d5aeced3c	pro
228ee75be0a54b2321c37e74b1b09e86	pro
838689130e3574e72a6e6f2e15c90a53	pro
26e2d1d32c337d32dad7fff8d15e3667	pro
2a960a8de1f15350a7c073c316505828	pro
2268d9efda467c075c236e09e9870768	pro
d2c0b1b6db72a99dc0e6cbbcab3a87af	pro
fe818a842f9938538b09195c381dd8eb	pro
d76d0674928a385a3870ba61a483029a	pro
42e7a4036d2866fb34453cfb6d42cd01	pro
c4c9ddce7e220425a23056a63d1f377f	pro
2b0d0bbab4c90b61667808a2976afba4	pro
5307f89ba1c86118d3aaa9bcf342bedc	pro
f7bd7efd10bd28bc51991c41f42565fa	pro
a497c849ec8cedeab0e22bc51502a9c4	pro
ec93c277277f6d8d156bfab48c5ca780	pro
0d6102cbcbf327dc3e3291084de3d6cd	pro
355b369c2a20a61b83633ffd77a7cfa9	pro
